id,poll_id,question_id,option_id,count,percentage,denominator,deminator_estimate,done_by,notes
cvvm_2013-11-14_volebni_ucast_psp_1_rozhodneano,cvvm_2013-11-14,volebni_ucast_psp_1,rozhodneano,330,0.336,981,NA,Kamil Gregor,
cvvm_2013-11-14_volebni_ucast_psp_1_spiseano,cvvm_2013-11-14,volebni_ucast_psp_1,spiseano,266,0.271,981,NA,Kamil Gregor,
cvvm_2013-11-14_volebni_ucast_psp_1_spisene,cvvm_2013-11-14,volebni_ucast_psp_1,spisene,82,0.084,981,NA,Kamil Gregor,
cvvm_2013-11-14_volebni_ucast_psp_1_rozhodnene,cvvm_2013-11-14,volebni_ucast_psp_1,rozhodnene,214,0.218,981,NA,Kamil Gregor,
cvvm_2013-11-14_volebni_ucast_psp_1_bezprava,cvvm_2013-11-14,volebni_ucast_psp_1,bezprava,40,0.041,981,NA,Kamil Gregor,
cvvm_2013-11-14_volebni_ucast_psp_1_nevi,cvvm_2013-11-14,volebni_ucast_psp_1,nevi,49,0.05,981,NA,Kamil Gregor,
cvvm_2013-11-14_volebni_ucast_psp_1_bezodpovedi,cvvm_2013-11-14,volebni_ucast_psp_1,bezodpovedi,0,0,981,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_cssd,cvvm_2013-11-14,stranicke_preference_psp_1,cssd,161,0.224,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_ods,cvvm_2013-11-14,stranicke_preference_psp_1,ods,27,0.038,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_kscm,cvvm_2013-11-14,stranicke_preference_psp_1,kscm,115,0.16,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_kducsl,cvvm_2013-11-14,stranicke_preference_psp_1,kducsl,43,0.06,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_sz,cvvm_2013-11-14,stranicke_preference_psp_1,sz,21,0.029,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_top09,cvvm_2013-11-14,stranicke_preference_psp_1,top09,60,0.083,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_vv,cvvm_2013-11-14,stranicke_preference_psp_1,vv,0,0,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_spo,cvvm_2013-11-14,stranicke_preference_psp_1,spo,2,0.03,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_hv,cvvm_2013-11-14,stranicke_preference_psp_1,hv,1,0.01,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_ano,cvvm_2013-11-14,stranicke_preference_psp_1,ano,161,0.224,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_usvit,cvvm_2013-11-14,stranicke_preference_psp_1,usvit,40,0.056,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_zadna,cvvm_2013-11-14,stranicke_preference_psp_1,zadna,4,0.006,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_ostatni,cvvm_2013-11-14,stranicke_preference_psp_1,ostatni,7,0.01,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_pirati,cvvm_2013-11-14,stranicke_preference_psp_1,pirati,19,0.026,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_ostatnivyroky,cvvm_2013-11-14,stranicke_preference_psp_1,ostatnivyroky,4,0.06,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_nevi,cvvm_2013-11-14,stranicke_preference_psp_1,nevi,55,0.076,720,NA,Kamil Gregor,
cvvm_2013-11-14_stranicke_preference_psp_1_bezodpovedi,cvvm_2013-11-14,stranicke_preference_psp_1,bezodpovedi,7,NA,NA,NA,Kamil Gregor,
median_2014-03-16_volebni_ucast_psp_2_rozhodneano,median_2014-03-16,volebni_ucast_psp_2,rozhodneano,NA,0.4,1037,NA,Kamil Gregor,
median_2014-03-16_volebni_ucast_psp_2_spiseano,median_2014-03-16,volebni_ucast_psp_2,spiseano,NA,0.175,1037,NA,Kamil Gregor,
median_2014-03-16_volebni_ucast_psp_2_spisene,median_2014-03-16,volebni_ucast_psp_2,spisene,NA,0.08,1037,NA,Kamil Gregor,
median_2014-03-16_volebni_ucast_psp_2_rozhodnene,median_2014-03-16,volebni_ucast_psp_2,rozhodnene,NA,0.345,1037,NA,Kamil Gregor,
median_2014-03-16_volebni_model_psp_1_cssd,median_2014-03-16,volebni_model_psp_1,cssd,NA,0.21,NA,1037,Kamil Gregor,
median_2014-03-16_volebni_model_psp_1_ano,median_2014-03-16,volebni_model_psp_1,ano,NA,0.195,NA,1037,Kamil Gregor,
median_2014-03-16_volebni_model_psp_1_kscm,median_2014-03-16,volebni_model_psp_1,kscm,NA,0.15,NA,1037,Kamil Gregor,
median_2014-03-16_volebni_model_psp_1_top09,median_2014-03-16,volebni_model_psp_1,top09,NA,0.115,NA,1037,Kamil Gregor,
median_2014-03-16_volebni_model_psp_1_ods,median_2014-03-16,volebni_model_psp_1,ods,NA,0.085,NA,1037,Kamil Gregor,
median_2014-03-16_volebni_model_psp_1_kducsl,median_2014-03-16,volebni_model_psp_1,kducsl,NA,0.075,NA,1037,Kamil Gregor,
median_2014-03-16_volebni_model_psp_1_usvit,median_2014-03-16,volebni_model_psp_1,usvit,NA,0.05,NA,1037,Kamil Gregor,
